X=14.854 Y=23.490 Z=151.907
X=14.874 Y=24.240 Z=151.682
X=14.864 Y=24.742 Z=151.551
X=15.030 Y=25.278 Z=151.442
X=15.126 Y=25.938 Z=151.353
X=15.159 Y=26.535 Z=151.263
X=15.147 Y=26.934 Z=151.188
X=15.125 Y=27.197 Z=151.107
X=15.087 Y=27.370 Z=151.039
X=14.879 Y=27.435 Z=151.004
X=14.243 Y=27.552 Z=151.148
X=13.696 Y=27.589 Z=151.206
X=13.535 Y=27.178 Z=151.222
X=13.581 Y=26.078 Z=151.264
X=13.963 Y=23.647 Z=151.322
X=14.369 Y=21.332 Z=151.417
X=14.889 Y=19.094 Z=151.455
X=15.733 Y=17.000 Z=151.142
X=16.346 Y=15.510 Z=150.815
X=16.473 Y=15.588 Z=150.677
X=15.951 Y=16.821 Z=150.791
X=15.260 Y=17.146 Z=151.373
X=14.795 Y=16.565 Z=152.370
X=12.495 Y=15.797 Z=154.396
X=7.777 Y=14.819 Z=158.531
X=3.462 Y=15.675 Z=160.557
X=0.831 Y=17.363 Z=161.541
X=-0.607 Y=18.753 Z=162.119
X=-0.924 Y=19.443 Z=162.205
X=2.644 Y=19.976 Z=160.502
X=7.053 Y=20.760 Z=158.646
X=10.599 Y=21.466 Z=157.211
X=12.959 Y=21.513 Z=155.365
X=13.985 Y=21.290 Z=154.288
X=14.650 Y=21.204 Z=153.133
X=15.754 Y=21.356 Z=152.575
X=16.469 Y=20.494 Z=152.083
X=16.516 Y=18.785 Z=151.513
X=15.646 Y=17.876 Z=151.241
X=13.591 Y=18.545 Z=151.062
X=12.070 Y=20.290 Z=150.876
X=11.667 Y=22.095 Z=150.089
X=10.626 Y=21.433 Z=150.226
X=8.921 Y=16.752 Z=153.451
X=6.559 Y=11.676 Z=157.525
X=4.940 Y=9.503 Z=160.164
X=5.570 Y=11.231 Z=161.230
X=6.347 Y=13.975 Z=160.100
X=6.956 Y=15.212 Z=156.185
X=7.325 Y=14.394 Z=153.835
X=7.417 Y=12.891 Z=151.927
X=7.439 Y=10.404 Z=150.750
X=7.320 Y=7.086 Z=150.160
X=6.892 Y=4.334 Z=151.610
X=6.074 Y=1.068 Z=154.412
X=5.113 Y=-0.557 Z=157.102
X=5.720 Y=0.529 Z=159.156
X=6.614 Y=3.939 Z=160.756
X=6.679 Y=6.439 Z=161.274
