X=-5.920 Y=13.102 Z=163.276
X=-7.983 Y=14.806 Z=163.105
X=-8.556 Y=16.296 Z=163.155
X=-7.197 Y=16.522 Z=162.975
X=-4.670 Y=15.228 Z=163.198
X=-2.655 Y=13.786 Z=163.126
X=-1.453 Y=12.994 Z=163.332
X=-0.825 Y=12.984 Z=163.224
X=-1.014 Y=13.301 Z=163.227
X=-1.298 Y=14.222 Z=162.772
X=-1.551 Y=14.980 Z=162.314
X=-1.023 Y=15.434 Z=161.402
X=-0.738 Y=15.991 Z=160.942
X=-0.542 Y=16.035 Z=160.893
X=-0.278 Y=15.931 Z=161.285
X=-0.266 Y=15.686 Z=161.626
X=-0.215 Y=15.661 Z=161.641
X=-0.220 Y=15.581 Z=161.117
X=-0.281 Y=15.704 Z=161.146
X=-0.338 Y=15.967 Z=161.209
X=-0.469 Y=16.002 Z=161.375
X=-0.467 Y=16.091 Z=161.522
X=-0.441 Y=16.163 Z=161.569
X=-0.394 Y=16.256 Z=161.569
X=-0.217 Y=16.344 Z=161.510
X=-0.105 Y=16.496 Z=161.504
X=-0.012 Y=16.697 Z=161.495
X=0.431 Y=16.801 Z=160.999
X=3.301 Y=16.818 Z=159.733
X=7.927 Y=15.165 Z=157.112
X=10.774 Y=14.071 Z=153.699
X=12.797 Y=13.659 Z=150.782
X=14.513 Y=12.428 Z=148.892
X=15.398 Y=12.614 Z=147.989
X=13.490 Y=18.551 Z=148.639
X=12.156 Y=26.412 Z=148.569
X=10.780 Y=31.096 Z=148.427
X=9.567 Y=32.519 Z=148.339
X=8.808 Y=31.662 Z=148.648
X=8.256 Y=27.199 Z=149.269
X=7.453 Y=24.143 Z=149.631
X=6.985 Y=21.008 Z=150.359
X=6.060 Y=18.180 Z=151.489
X=3.466 Y=12.668 Z=154.516
X=1.469 Y=10.825 Z=156.650
X=-0.458 Y=10.599 Z=158.326
X=1.232 Y=12.251 Z=158.502
X=6.742 Y=19.530 Z=155.222
X=7.469 Y=23.181 Z=151.637
X=7.890 Y=24.197 Z=150.505
X=8.062 Y=24.696 Z=150.119
X=8.412 Y=25.693 Z=149.893
X=8.474 Y=26.243 Z=149.974
X=8.057 Y=28.218 Z=149.861
X=6.959 Y=30.694 Z=149.748
X=6.749 Y=31.765 Z=149.545
X=7.259 Y=32.647 Z=149.062
X=8.398 Y=31.420 Z=148.199
X=5.034 Y=23.380 Z=150.146
X=-1.891 Y=16.736 Z=153.441
X=-7.655 Y=12.137 Z=154.301
X=-11.267 Y=11.790 Z=155.659
X=-12.217 Y=13.838 Z=157.456
X=-11.736 Y=15.214 Z=158.110
X=-10.880 Y=15.839 Z=157.841
X=-10.810 Y=16.009 Z=157.705
X=-11.216 Y=15.997 Z=157.371
X=-11.404 Y=16.254 Z=157.383
X=-11.789 Y=16.487 Z=157.446
X=-11.955 Y=16.410 Z=157.485
X=-11.955 Y=16.145 Z=157.422
X=-11.682 Y=15.848 Z=157.055
X=-8.971 Y=15.778 Z=156.354
X=-1.446 Y=18.561 Z=153.478
X=1.566 Y=22.002 Z=152.384
X=1.864 Y=21.400 Z=151.928
X=2.642 Y=18.670 Z=150.449
X=4.980 Y=17.084 Z=150.470
X=8.199 Y=15.930 Z=151.436
X=11.837 Y=11.465 Z=151.416
X=17.018 Y=3.914 Z=150.398
X=21.721 Y=-1.828 Z=150.048
X=24.705 Y=-4.629 Z=149.372
X=25.624 Y=-5.587 Z=149.293
X=24.939 Y=-5.936 Z=149.135
X=23.013 Y=-6.352 Z=149.343
X=21.240 Y=-7.236 Z=149.719
X=20.330 Y=-7.477 Z=149.576
X=17.853 Y=-6.126 Z=149.835
X=14.270 Y=-4.240 Z=150.856
X=10.540 Y=-2.929 Z=153.367
X=6.077 Y=-3.061 Z=155.018
X=2.747 Y=-4.260 Z=156.278
X=4.124 Y=-5.220 Z=155.913
X=7.400 Y=-3.775 Z=154.971
X=9.530 Y=-5.329 Z=154.145
X=11.252 Y=-8.119 Z=153.030
X=13.350 Y=-11.532 Z=151.338
X=14.586 Y=-13.700 Z=150.831
X=15.444 Y=-14.656 Z=150.276
X=15.331 Y=-15.008 Z=150.091
X=14.237 Y=-14.873 Z=150.337
X=11.226 Y=-11.843 Z=150.939
X=3.840 Y=-4.869 Z=153.562
X=-3.515 Y=-0.355 Z=155.580
X=-9.464 Y=2.412 Z=156.897
X=-13.864 Y=2.922 Z=157.956
X=-16.591 Y=1.676 Z=158.974
X=-16.500 Y=0.103 Z=160.041
X=-16.676 Y=-1.195 Z=159.931
X=-17.514 Y=-2.325 Z=159.301
X=-16.176 Y=-2.503 Z=158.831
X=-15.589 Y=-2.673 Z=158.734
X=-15.516 Y=-2.583 Z=159.035
X=-15.464 Y=-2.553 Z=159.102
X=-15.404 Y=-2.380 Z=159.176
X=-15.395 Y=-2.376 Z=159.204
X=-15.170 Y=-2.374 Z=159.058
X=-14.802 Y=-2.298 Z=158.890
X=-14.523 Y=-2.062 Z=158.776
X=-14.267 Y=-1.935 Z=158.662
X=-12.766 Y=-1.807 Z=158.117
X=-6.472 Y=-4.333 Z=155.448
X=-3.697 Y=-7.117 Z=152.301
X=-2.375 Y=-7.600 Z=150.468
X=-1.554 Y=-9.174 Z=149.742
X=-0.655 Y=-11.160 Z=150.595
X=0.936 Y=-12.536 Z=150.914
X=1.884 Y=-13.377 Z=151.169
X=2.101 Y=-13.354 Z=151.248
X=2.889 Y=-13.794 Z=151.519
X=4.438 Y=-14.760 Z=151.461
X=6.441 Y=-17.578 Z=151.458
X=3.323 Y=-21.405 Z=153.883
X=-1.897 Y=-19.471 Z=155.878
X=-6.114 Y=-14.951 Z=157.756
X=-9.633 Y=-10.943 Z=158.344
X=-11.314 Y=-9.360 Z=158.963
X=-12.432 Y=-10.565 Z=159.159
X=-15.095 Y=-14.005 Z=157.559
X=-17.463 Y=-16.288 Z=155.060
X=-18.676 Y=-15.652 Z=153.253
X=-18.838 Y=-14.138 Z=152.952
X=-19.191 Y=-13.175 Z=153.160
X=-19.265 Y=-12.519 Z=153.460
X=-18.961 Y=-12.282 Z=153.571
X=-18.826 Y=-12.296 Z=153.608
X=-18.685 Y=-12.393 Z=153.601
X=-14.296 Y=-11.919 Z=153.288
X=-8.306 Y=-8.689 Z=153.099
X=-6.805 Y=-5.980 Z=152.496
X=-6.510 Y=-4.241 Z=152.054
X=-6.983 Y=-1.296 Z=152.406
X=-8.313 Y=3.828 Z=154.124
X=-8.793 Y=8.369 Z=154.904
X=-8.859 Y=12.569 Z=155.540
X=-8.036 Y=16.088 Z=155.295
X=-5.154 Y=16.319 Z=155.177
X=-2.400 Y=13.594 Z=155.334
X=1.986 Y=1.408 Z=155.487
X=-0.534 Y=-6.030 Z=155.475
X=-0.073 Y=-6.320 Z=155.482
X=6.416 Y=4.820 Z=154.226
X=8.352 Y=16.915 Z=153.607
X=10.932 Y=25.100 Z=153.330
X=14.266 Y=30.264 Z=152.683
X=17.879 Y=33.542 Z=152.013
X=19.604 Y=35.239 Z=151.949
X=19.798 Y=36.143 Z=151.930
X=19.649 Y=35.195 Z=151.868
X=18.138 Y=28.384 Z=152.130
X=11.152 Y=20.035 Z=153.426
X=3.828 Y=14.136 Z=153.455
X=-1.987 Y=9.593 Z=152.066
X=-5.409 Y=8.225 Z=150.124
X=-5.496 Y=8.498 Z=151.645
X=-5.382 Y=8.466 Z=152.034
X=-5.134 Y=8.717 Z=152.626
X=-5.163 Y=8.925 Z=152.776
X=-5.517 Y=8.857 Z=153.024
X=-5.670 Y=8.210 Z=153.240
X=-5.964 Y=7.780 Z=153.320
X=-6.241 Y=7.632 Z=153.591
X=-4.769 Y=7.619 Z=153.988
X=1.034 Y=9.685 Z=152.835
X=5.276 Y=13.747 Z=151.502
X=8.058 Y=17.341 Z=150.767
X=10.714 Y=20.179 Z=150.449
X=13.196 Y=22.459 Z=150.502
X=15.919 Y=23.934 Z=150.368
X=18.222 Y=24.478 Z=149.717
X=19.261 Y=25.173 Z=149.428
X=19.273 Y=26.114 Z=149.476
X=18.749 Y=26.797 Z=149.594
X=17.803 Y=27.528 Z=150.113
X=17.283 Y=27.807 Z=150.306
X=16.798 Y=27.289 Z=150.200
X=14.180 Y=25.017 Z=150.151
X=9.546 Y=19.898 Z=150.363
X=4.012 Y=11.310 Z=150.952
X=-3.445 Y=2.306 Z=153.498
X=-8.534 Y=-1.332 Z=154.974
X=-10.103 Y=-2.676 Z=155.741
X=-5.452 Y=3.105 Z=154.260
X=-2.534 Y=12.636 Z=154.532
X=-0.836 Y=17.662 Z=154.278
X=-0.626 Y=21.018 Z=156.968
X=-1.302 Y=22.183 Z=158.989
X=-0.766 Y=22.608 Z=160.847
X=-0.337 Y=22.671 Z=162.201
X=-2.945 Y=21.441 Z=164.852
X=-3.713 Y=20.550 Z=165.307
X=-3.623 Y=20.474 Z=165.638
X=-3.577 Y=20.994 Z=165.675
X=-3.667 Y=20.616 Z=165.273
X=-5.000 Y=16.484 Z=162.740
X=-7.493 Y=12.160 Z=157.658
X=-9.701 Y=10.179 Z=154.621
X=-11.428 Y=9.759 Z=154.391
X=-12.945 Y=9.762 Z=154.570
X=-13.664 Y=9.794 Z=154.729
X=-14.289 Y=9.829 Z=153.568
X=-14.508 Y=9.768 Z=153.537
X=-14.345 Y=9.662 Z=153.378
X=-14.007 Y=9.631 Z=153.210
X=-13.076 Y=9.427 Z=152.868
X=-8.016 Y=10.244 Z=152.522
X=-2.027 Y=14.913 Z=152.207
X=-0.252 Y=17.195 Z=151.647
X=1.022 Y=15.610 Z=151.463
X=2.671 Y=12.476 Z=151.653
X=5.186 Y=7.987 Z=151.428
